correct_answer,question
一,□万円札を拾う。
右,彼の□に出る者はいない。
雨,もうすぐ梅□の季節だ。
円,丸い□を描く。
王,□が命令する。
音,□を聞く。
下,崖の□に落ちる。
火,マッチに□を付ける。
花,道端に□が咲く。
貝,海岸で□を拾う。
学,日本語を□ぶ。
気,□もちのよい朝を迎える。
九,□州へ旅する。
休,疲れたので少し□む。
玉,□子焼きを食べる。
金,お□を払う。
空,□を飛ぶ。
月,夜空に□が浮かぶ。
犬,□を飼う。
見,彼を□つめる。
五,□体満足で産まれる。
口,大きな□をあける。
校,小学□に通う。
左,日本の道路は□側通行。
三,□日坊主になった日記。
山,□に登る。
子,小さな□どもたち。
四,□面楚歌に陥る。
糸,□を結ぶ。
字,□を書く。
耳,□に障る。
七,□転八起の精神。
車,□に乗る。
手,□を洗う。
十,□字路に出る。
出,外へ□かける。
女,男も□も仲がいい。
小,□さな消しゴム。
上,屋根の□に登る。
森,□林伐採を食い止める。
人,先□の知恵に学ぶ。
水,□を飲む。
正,□直に話す。
生,たくましく□きる。
青,□い空を見上げる。
夕,□やけを眺める。
石,□ころを転がす。
赤,□十字に募金する。
千,□円札を落とす。
川,□が氾濫する。
先,□生が教室に来る。
早,□く起きると健康だ。
草,□が生い茂る。
足,彼は□が速い。
村,全国の市区町□数を調べる。
大,□きな手を広げる。
男,女と□は助け合う。
竹,□やぶの中に入る。
中,部屋の真ん□に座る
虫,夏は□の鳴き声が聞こえる。
町,隣□に出かける。
天,□を仰ぐ。
田,□んぼに行く。
土,モグラが□に潜る。
二,一石□鳥を狙う。
日,お□さまが出る。
入,□道雲が見える。
年,□の瀬を迎える。
白,まっさらな□い紙。
八,□百屋で働く。
百,□人一首で遊ぶ。
文,呪□を唱える。
木,高い□に登る。
本,□を読む。
名,□前を叫ぶ。
目,学校の□の前に家がある。
立,椅子から□ち上がる。
力,縁の下の□持ちになる。
林,農□水産省で働く。
六,□法全書を持ち歩く。
